Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;18991;"Nature Reviews Genetics";journal;"14710056, 14710064";34,896;Q1;307;108;429;7108;7296;167;38,94;65,81;United Kingdom;"Nature Publishing Group";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
2;20315;"Nature Reviews Molecular Cell Biology";journal;"14710072, 14710080";32,714;Q1;372;112;428;7278;8741;206;29,64;64,98;United Kingdom;"Nature Publishing Group";"Cell Biology (Q1); Molecular Biology (Q1)"
3;21318;"Nature Reviews Immunology";journal;"14741733";28,786;Q1;332;141;465;8241;7943;184;39,55;58,45;United Kingdom;"Nature Publishing Group";"Immunology (Q1); Medicine (miscellaneous) (Q1)"
4;21100812243;"Nature Reviews Materials";journal;"20588437";28,630;Q1;33;91;102;7110;2619;56;46,77;78,13;United Kingdom;"Nature Publishing Group";"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
5;12464;"Nature Reviews Cancer";journal;"1474175X";23,530;Q1;373;118;403;9157;7687;198;37,90;77,60;United Kingdom;"Nature Publishing Group";"Cancer Research (Q1); Oncology (Q1)"
6;18990;"Nature Genetics";journal;"10614036";22,243;Q1;511;291;811;13028;16977;693;22,68;44,77;United Kingdom;"Nature Publishing Group";"Genetics (Q1)"
7;5200152704;"Nature Nanotechnology";journal;"17483387";20,612;Q1;263;230;737;7058;18668;562;30,23;30,69;United Kingdom;"Nature Publishing Group";"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
8;21100778827;"Nature Methods";journal;"15487105, 15487091";19,939;Q1;241;284;1029;6258;13288;580;19,62;22,04;United Kingdom;"Nature Publishing Group";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
9;19482;"Econometrica";journal;"00129682, 14680262";19,932;Q1;158;59;187;2561;932;179;3,78;43,41;United Kingdom;"Blackwell Publishing Inc.";"Economics and Econometrics (Q1)"
10;17500;"Journal of Finance";journal;"15406261, 00221082";18,318;Q1;249;64;226;3145;1529;218;5,23;49,14;United Kingdom;"Blackwell Publishing Inc.";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
11;17854;"Nature Materials";journal;"14764660, 14761122";18,263;Q1;380;215;820;6642;20596;634;28,47;30,89;United Kingdom;"Nature Publishing Group";"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
12;16115;"Nature Biotechnology";journal;"10870156";18,252;Q1;377;275;1099;5977;14051;577;21,51;21,73;United Kingdom;"Nature Publishing Group";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
13;21206;"Nature";journal;"14764687, 00280836";17,875;Q1;1052;2508;7862;43964;113865;4464;24,75;17,53;United Kingdom;"Nature Publishing Group";"Multidisciplinary (Q1)"
14;20313;"Nature Reviews Microbiology";journal;"17401526";17,634;Q1;237;144;427;7924;5683;199;28,43;55,03;United Kingdom;"Nature Publishing Group";"Immunology and Microbiology (miscellaneous)  (Q1)"
15;23350;"Chemical Society Reviews";journal;"03060012, 14604744";17,633;Q1;389;307;1071;56152;42112;1016;39,70;182,91;United Kingdom;"Royal Society of Chemistry";"Chemistry (miscellaneous) (Q1)"
16;17437;"Nature Reviews Neuroscience";journal;"14710048, 1471003X";17,110;Q1;357;123;442;8207;6015;218;27,64;66,72;United Kingdom;"Nature Publishing Group";"Neuroscience (miscellaneous) (Q1)"
17;15819;"Nature Medicine";journal;"10788956";17,067;Q1;484;255;928;8697;15477;650;24,41;34,11;United Kingdom;"Nature Publishing Group";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
18;5700165152;"Nature Photonics";journal;"17494885";16,462;Q1;236;189;637;5320;13943;450;26,37;28,15;United Kingdom;"Nature Pub. Group";"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
19;12354;"The Lancet Oncology";journal;"14702045, 14745488";16,085;Q1;252;495;1831;9560;18718;598;31,80;19,31;United Kingdom;"The Lancet Publishing Group";"Oncology (Q1)"
20;17436;"Nature Neuroscience";journal;"10976256";15,207;Q1;362;250;863;12475;12948;731;17,53;49,90;United Kingdom;"Nature Publishing Group";"Neuroscience (miscellaneous) (Q1)"
21;16590;"The Lancet";journal;"01406736, 1474547X";14,934;Q1;670;1580;5684;26957;48309;1528;31,85;17,06;United Kingdom;"The Lancet Publishing Group";"Medicine (miscellaneous) (Q1)"
22;17500155114;"Energy and Environmental Sciences";journal;"17545692";14,590;Q1;240;246;1036;15494;31869;1019;29,25;62,98;United Kingdom;"Royal Society of Chemistry";"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
23;16161;"Review of Financial Studies";journal;"08939454, 14657368";14,237;Q1;145;119;274;6079;1447;272;4,38;51,08;United Kingdom;"Oxford University Press";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
24;19014;"Nature Cell Biology";journal;"14657392";14,070;Q1;327;196;529;7521;7356;458;15,35;38,37;United Kingdom;"Nature Publishing Group";"Cell Biology (Q1)"
25;21315;"Nature Immunology";journal;"15292908, 15292916";14,007;Q1;336;205;623;8307;8692;510;17,39;40,52;United Kingdom;"Nature Publishing Group";"Immunology (Q1)"
26;18100156701;"Nature Chemistry";journal;"17554330, 17554349";13,235;Q1;170;216;683;7516;10398;526;18,32;34,80;United Kingdom;"Nature Publishing Group";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
27;40944;"Genome Biology";journal;"14747596";12,740;Q1;198;242;842;13233;10526;753;11,25;54,68;United Kingdom;"BioMed Central";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
28;16860;"The Lancet Neurology";journal;"14744422";11,964;Q1;240;262;877;5818;8164;303;25,12;22,21;United Kingdom;"The Lancet Publishing Group";"Neurology (clinical) (Q1)"
29;26978;"Advances in Physics";journal;"14606976, 00018732";11,279;Q1;100;3;18;1209;483;17;28,38;403,00;United Kingdom;"Taylor & Francis";"Condensed Matter Physics (Q1)"
30;19900191906;"Academy of Management Annals";journal;"19416520, 19416067";11,231;Q1;41;0;46;0;569;44;8,97;0,00;United Kingdom;"Routledge";"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)"
31;12394;"Nature Structural and Molecular Biology";journal;"15459985, 15459993";10,873;Q1;242;170;550;7163;5216;495;10,88;42,14;United Kingdom;"Nature Publishing Group";"Molecular Biology (Q1); Structural Biology (Q1)"
32;20425;"Nature Reviews Drug Discovery";journal;"14741776";10,106;Q1;277;202;715;7107;6845;321;17,06;35,18;United Kingdom;"Nature Publishing Group";"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
33;22471;"The Lancet Infectious Diseases";journal;"14733099";9,963;Q1;189;485;1269;9071;8576;389;23,26;18,70;United Kingdom;"The Lancet Publishing Group";"Infectious Diseases (Q1)"
34;4000151822;"Nature Physics";journal;"17452473";9,791;Q1;219;295;851;8328;9807;569;17,18;28,23;United Kingdom;"Nature Publishing Group";"Physics and Astronomy (miscellaneous) (Q1)"
35;24202;"Review of Economic Studies";journal;"00346527, 1467937X";9,589;Q1;118;43;92;1976;351;91;3,02;45,95;United Kingdom;"Oxford University Press";"Economics and Econometrics (Q1)"
36;23183;"European Heart Journal";journal;"15229645, 0195668X";9,315;Q1;254;741;2168;14223;18652;1335;13,61;19,19;United Kingdom;"Oxford University Press";"Cardiology and Cardiovascular Medicine (Q1)"
37;17899;"Progress in Materials Science";journal;"00796425";9,148;Q1;130;42;100;13497;3079;99;23,91;321,36;United Kingdom;"Elsevier Ltd.";"Materials Science (miscellaneous) (Q1)"
38;14204;"Nucleic Acids Research";journal;"13624962, 03051048";9,025;Q1;436;1364;4212;63349;45322;4131;11,43;46,44;United Kingdom;"Oxford University Press";"Genetics (Q1)"
39;5800207366;"Nature Protocols";journal;"17542189";8,850;Q1;189;157;534;7384;5840;501;11,80;47,03;United Kingdom;"Nature Publishing Group";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
40;21100265444;"The Lancet Global Health";journal;"2214109X";8,756;Q1;43;340;760;5229;3371;172;18,97;15,38;United Kingdom;"Elsevier BV";"Medicine (miscellaneous) (Q1)"
41;4000148205;"Nature Chemical Biology";journal;"15524469, 15524450";8,604;Q1;173;228;622;9359;6254;502;11,67;41,05;United Kingdom;"Nature Publishing Group";"Cell Biology (Q1); Molecular Biology (Q1)"
42;15555;"American Journal of Political Science";journal;"00925853, 15405907";8,595;Q1;136;67;206;3233;1101;201;4,92;48,25;United Kingdom;"Blackwell Publishing Inc.";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
43;39139;"International Organization";journal;"00208183, 15315088";8,527;Q1;124;38;97;2524;468;95;4,50;66,42;United Kingdom;"Cambridge University Press";"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
44;21100198409;"Nature Climate Change";journal;"17586798, 1758678X";8,341;Q1;109;233;922;6796;9839;593;15,36;29,17;United Kingdom;"Nature Publishing Group";"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
45;28330;"Gastroenterology";journal;"15280012, 00165085";7,958;Q1;357;645;1874;17667;12967;888;14,77;27,39;United Kingdom;"W. B. Saunders Co., Ltd.";"Gastroenterology (Q1)"
46;21100220495;"The Lancet Respiratory Medicine";journal;"22132600";7,746;Q1;61;241;923;4496;4478;292;14,01;18,66;United Kingdom;"The Lancet Publishing Group";"Pulmonary and Respiratory Medicine (Q1)"
47;19136;"Annals of the Rheumatic Diseases";journal;"14682060, 00034967";7,699;Q1;198;369;1291;10716;10592;931;10,76;29,04;United Kingdom;"BMJ Publishing Group";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)"
48;21100780831;"Nature Reviews Disease Primers";journal;"2056676X";7,467;Q1;25;62;92;9211;1344;86;15,63;148,56;United Kingdom;"Nature Publishing Group";"Medicine (miscellaneous) (Q1)"
49;28366;"Gut";journal;"00175749, 14683288";7,440;Q1;251;307;953;9382;8990;607;14,50;30,56;United Kingdom;"BMJ Publishing Group";"Gastroenterology (Q1)"
50;21100773752;"Nature Microbiology";journal;"20585276";7,139;Q1;24;209;266;7984;2072;213;9,73;38,20;United Kingdom;"Nature Publishing Group";"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Genetics (Q1); Immunology (Q1); Microbiology (Q1); Microbiology (medical) (Q1)"
51;21100242814;"eLife";journal;"2050084X";7,121;Q1;74;1434;2916;87787;19862;2772;6,85;61,22;United Kingdom;"eLife Sciences Publications";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
52;19708;"FEMS Microbiology Reviews";journal;"01686445";7,063;Q1;174;62;151;8487;1904;144;11,70;136,89;United Kingdom;"Oxford University Press";"Infectious Diseases (Q1); Microbiology (Q1)"
53;13531;"Journal of the Royal Statistical Society. Series B: Statistical Methodology";journal;"14679868, 13697412";7,005;Q1;108;74;125;2822;535;123;2,66;38,14;United Kingdom;"Blackwell Publishing Inc.";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
54;29857;"Journal of Accounting Research";journal;"00218456, 1475679X";6,957;Q1;113;36;99;1711;423;95;4,66;47,53;United Kingdom;"Blackwell Publishing Inc.";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
55;14599;"Ecology Letters";journal;"14610248, 1461023X";6,825;Q1;219;154;466;10118;4495;353;13,96;65,70;United Kingdom;"Blackwell Publishing Inc.";"Ecology, Evolution, Behavior and Systematics (Q1)"
56;17600155041;"Nature Geoscience";journal;"17520894, 17520908";6,752;Q1;142;225;761;8685;6738;567;11,52;38,60;United Kingdom;"Nature Publishing Group";"Earth and Planetary Sciences (miscellaneous) (Q1)"
57;27538;"Progress in Energy and Combustion Science";journal;"03601285";6,751;Q1;148;29;57;9551;1375;54;27,53;329,34;United Kingdom;"Elsevier Ltd.";"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)"
58;24535;"Acta Numerica";journal;"09624929";6,709;Q1;54;6;17;1247;163;17;9,60;207,83;United Kingdom;"Cambridge University Press";"Mathematics (miscellaneous) (Q1); Numerical Analysis (Q1)"
59;19700182758;"Nature Communications";journal;"20411723";6,582;Q1;198;4467;9831;228693;121303;9435;12,13;51,20;United Kingdom;"Nature Publishing Group";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
60;25725;"World Politics";journal;"00438871, 10863338";6,544;Q1;92;20;62;1787;260;60;3,17;89,35;United Kingdom;"Cambridge University Press";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
61;17700156734;"Nature Reviews Clinical Oncology";journal;"17594774, 17594782";6,541;Q1;116;191;556;7282;3560;259;13,96;38,13;United Kingdom;"Nature Publishing Group";"Oncology (Q1)"
62;17382;"Molecular Psychiatry";journal;"14765578, 13594184";6,281;Q1;190;240;671;12319;5892;517;10,57;51,33;United Kingdom;"Nature Publishing Group";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)"
63;22687;"Angewandte Chemie - International Edition";journal;"14337851, 15213773";6,155;Q1;459;2873;8143;153877;91823;7903;11,28;53,56;United Kingdom;"John Wiley & Sons Ltd.";"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
64;17945;"Bioinformatics";journal;"13674811, 13674803";6,140;Q1;318;726;2360;17150;18335;2313;5,48;23,62;United Kingdom;"Oxford University Press";"Biochemistry (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Molecular Biology (Q1); Statistics and Probability (Q1)"
65;29488;"Progress in Particle and Nuclear Physics";journal;"01466410";6,093;Q1;97;31;60;7944;636;59;10,80;256,26;United Kingdom;"Elsevier Ltd.";"Nuclear and High Energy Physics (Q1)"
66;21100370017;"The Lancet Haematology";journal;"23523026";5,980;Q1;22;144;275;1992;1121;107;10,51;13,83;United Kingdom;"Elsevier Limited";"Hematology (Q1)"
67;21100369870;"The Lancet HIV";journal;"23523018";5,932;Q1;25;150;324;2508;1208;122;9,05;16,72;United Kingdom;"Elsevier Limited";"Epidemiology (Q1); Immunology (Q1); Infectious Diseases (Q1); Virology (Q1)"
68;14317;"Brain";journal;"14602156, 00068950";5,858;Q1;296;350;1143;13431;8440;770;10,22;38,37;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
69;15090;"Progress in Retinal and Eye Research";journal;"13509462";5,751;Q1;125;45;106;10779;1237;104;11,53;239,53;United Kingdom;"Elsevier Ltd.";"Ophthalmology (Q1); Sensory Systems (Q1)"
70;20810;"Immunological Reviews";journal;"01052896, 1600065X";5,715;Q1;196;99;335;15206;3123;322;8,95;153,60;United Kingdom;"Blackwell Publishing Inc.";"Immunology (Q1); Immunology and Allergy (Q1)"
71;24025;"Progress in Neurobiology";journal;"03010082";5,690;Q1;206;87;146;23796;1962;143;12,06;273,52;United Kingdom;"Elsevier Ltd.";"Neuroscience (miscellaneous) (Q1)"
72;29709;"Reports on Progress in Physics";journal;"00344885, 13616633";5,640;Q1;172;83;196;19767;2745;193;13,51;238,16;United Kingdom;"Institute of Physics Publishing";"Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
73;25143;"Advanced Functional Materials";journal;"1616301X";5,617;Q1;247;895;2483;49410;30978;2370;12,98;55,21;United Kingdom;"John Wiley & Sons Ltd.";"Biomaterials (Q1); Condensed Matter Physics (Q1); Electrochemistry (Q1); Electronic, Optical and Magnetic Materials (Q1); Nanoscience and Nanotechnology (Q1)"
74;28711;"Annals of Oncology";journal;"09237534, 15698041";5,599;Q1;201;546;1319;14431;11745;1033;11,24;26,43;United Kingdom;"Oxford University Press";"Hematology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
75;15557;"American Political Science Review";journal;"15375943, 00030554";5,587;Q1;148;56;169;2773;632;155;3,13;49,52;United Kingdom;"Cambridge University Press";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
76;17700156408;"Nature Reviews Neurology";journal;"17594758, 17594766";5,507;Q1;113;152;525;7244;3664;309;10,54;47,66;United Kingdom;"Nature Publishing Group";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)"
77;12459;"Journal of the National Cancer Institute";journal;"00278874";5,488;Q1;326;187;1008;5394;5124;545;9,89;28,84;United Kingdom;"Oxford University Press";"Cancer Research (Q1); Oncology (Q1)"
78;12216;"Molecular Biology and Evolution";journal;"07374038, 15371719";5,475;Q1;190;240;916;10270;6967;810;9,81;42,79;United Kingdom;"Oxford University Press";"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)"
79;17700156440;"Nature Reviews Endocrinology";journal;"17595037, 17595029";5,462;Q1;104;194;603;7828;3263;292;10,80;40,35;United Kingdom;"Nature Publishing Group";"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
80;19600166310;"EMBO Molecular Medicine";journal;"17574684, 17574676";5,440;Q1;79;131;368;6538;3105;334;9,45;49,91;United Kingdom;"John Wiley & Sons Ltd.";"Molecular Medicine (Q1)"
81;15823;"Journal of Public Administration Research and Theory";journal;"10531858, 14779803";5,407;Q1;90;32;128;2300;560;127;3,62;71,88;United Kingdom;"Oxford University Press";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
82;14305;"Systematic Biology";journal;"10635157, 1076836X";5,384;Q1;160;80;237;6006;1952;225;7,81;75,08;United Kingdom;"Oxford University Press";"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
83;15623;"Human Reproduction Update";journal;"13554786, 14602369";5,317;Q1;148;35;194;3172;1981;160;10,68;90,63;United Kingdom;"Oxford University Press";"Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1)"
84;21100356804;"The Lancet Psychiatry";journal;"22150366";5,247;Q1;36;321;847;4735;2942;259;11,37;14,75;United Kingdom;"Elsevier Limited";"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
85;21100278313;"Light: Science and Applications";journal;"20477538";5,245;Q1;55;73;187;3090;2484;182;12,23;42,33;United Kingdom;"Nature Publishing Group";"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
86;12854;"Clinical Psychology Review";journal;"02727358";5,226;Q1;170;92;204;9259;2142;198;9,67;100,64;United Kingdom;"Elsevier Ltd.";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
87;24392;"Journal of International Business Studies";journal;"14786990, 00472506";5,198;Q1;156;79;170;5069;1227;166;6,00;64,16;United Kingdom;"Palgrave Macmillan Ltd.";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
88;21100401152;"Microbiome";journal;"20492618";5,171;Q1;36;103;175;3795;1645;165;8,32;36,84;United Kingdom;"BioMed Central";"Microbiology (Q1); Microbiology (medical) (Q1)"
89;26015;"Leukemia";journal;"08876924";5,131;Q1;168;403;1100;12644;7037;657;9,49;31,37;United Kingdom;"Nature Publishing Group";"Anesthesiology and Pain Medicine (Q1); Cancer Research (Q1); Hematology (Q1); Oncology (Q1)"
90;21100416121;"Nature Plants";journal;"2055026X";5,075;Q1;27;205;319;5309;1812;221;8,20;25,90;United Kingdom;"Palgrave Macmillan Ltd.";"Plant Science (Q1)"
91;21100403931;"Materials Horizons";journal;"20516355";5,025;Q1;38;111;192;8504;2356;187;13,04;76,61;United Kingdom;"Royal Society of Chemistry";"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1); Process Chemistry and Technology (Q1)"
92;21100420802;"GigaScience";journal;"2047217X";5,022;Q1;24;123;150;5217;1012;122;8,27;42,41;United Kingdom;"Oxford University Press";"Computer Science Applications (Q1); Health Informatics (Q1)"
93;17378;"Critical Reviews in Biochemistry and Molecular Biology";journal;"10409238, 15497798";4,977;Q1;93;38;97;6237;625;95;5,01;164,13;United Kingdom;"Taylor & Francis";"Biochemistry (Q1); Molecular Biology (Q1)"
94;21100261712;"Analytic Methods in Accident Research";journal;"22136657";4,849;Q1;17;21;45;1302;464;45;8,64;62,00;United Kingdom;"Elsevier BV";"Safety Research (Q1); Transportation (Q1)"
95;5800173382;"ISME Journal";journal;"17517362, 17517370";4,813;Q1;120;257;742;14923;7022;704;9,35;58,07;United Kingdom;"Nature Publishing Group";"Ecology, Evolution, Behavior and Systematics (Q1); Microbiology (Q1)"
96;17700156509;"Nature Reviews Cardiology";journal;"17595002, 17595010";4,739;Q1;97;158;626;7216;2513;266;9,79;45,67;United Kingdom;"Nature Publishing Group";"Cardiology and Cardiovascular Medicine (Q1)"
97;15131;"Global Change Biology";journal;"13541013, 13652486";4,731;Q1;204;455;1027;33162;9299;987;8,86;72,88;United Kingdom;"Blackwell Publishing Inc.";"Ecology (Q1); Environmental Chemistry (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q1)"
98;14531;"Development (Cambridge)";journal;"09501991, 14779129";4,698;Q1;295;459;1410;28207;7787;1339;5,33;61,45;United Kingdom;"The Company of Biologists Ltd.";"Developmental Biology (Q1); Molecular Biology (Q1)"
99;16232;"British Journal of Political Science";journal;"00071234, 14692112";4,661;Q1;76;110;126;2819;390;92;3,12;25,63;United Kingdom;"Cambridge University Press";"Sociology and Political Science (Q1)"
100;21100842667;"Wellcome Open Research";journal;"2398502X";4,612;Q1;3;105;1;3664;6;1;6,00;34,90;United Kingdom;"F1000 Research Ltd.";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
101;17800156710;"Nature Reviews Rheumatology";journal;"17594804, 17594790";4,604;Q1;102;183;524;6365;2914;300;9,13;34,78;United Kingdom;"Nature Publishing Group";"Rheumatology (Q1)"
102;19700175140;"Genome Medicine";journal;"1756994X";4,537;Q1;55;119;389;6044;2540;340;8,00;50,79;United Kingdom;"BioMed Central";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)"
103;145558;"Political Analysis";journal;"10471987, 14764989";4,531;Q1;54;26;106;1053;304;99;2,60;40,50;United Kingdom;"Cambridge University Press";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
104;19700200838;"Chemical Science";journal;"20416520, 20416539";4,508;Q1;116;919;2478;54211;21109;2431;8,71;58,99;United Kingdom;"Royal Society of Chemistry";"Chemistry (miscellaneous) (Q1)"
105;13140;"Epidemiologic Reviews";journal;"14786729, 0193936X";4,505;Q1;93;14;36;1496;291;36;7,46;106,86;United Kingdom;"Oxford University Press";"Epidemiology (Q1); Medicine (miscellaneous) (Q1)"
106;18457;"Cell Death and Differentiation";journal;"13509047";4,356;Q1;191;212;586;10095;4120;526;7,82;47,62;United Kingdom;"Nature Publishing Group";"Cell Biology (Q1); Molecular Biology (Q1)"
107;11400153331;"Mucosal Immunology";journal;"19330219, 19353456";4,314;Q1;74;141;397;7876;2615;377;6,79;55,86;United Kingdom;"Nature Publishing Group";"Immunology (Q1); Immunology and Allergy (Q1)"
108;21119;"International Materials Reviews";journal;"09506608";4,270;Q1;86;22;57;3355;727;56;11,97;152,50;United Kingdom;"Maney Publishing";"Materials Chemistry (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Metals and Alloys (Q1)"
109;23833;"Cement and Concrete Research";journal;"00088846";4,223;Q1;156;196;561;9038;3327;550;5,88;46,11;United Kingdom;"Elsevier Ltd.";"Building and Construction (Q1); Materials Science (miscellaneous) (Q1)"
110;18045;"Neuroscience and Biobehavioral Reviews";journal;"01497634";4,220;Q1;198;342;776;51508;6749;718;8,16;150,61;United Kingdom;"Elsevier Ltd.";"Behavioral Neuroscience (Q1); Cognitive Neuroscience (Q1); Neuropsychology and Physiological Psychology (Q1)"
111;20333;"Journal of Politics";journal;"14682508, 00223816";4,220;Q1;98;114;253;5551;632;253;2,02;48,69;United Kingdom;"University of Chicago Press";"Sociology and Political Science (Q1)"
112;28111;"BMC Medicine";journal;"17417015";4,219;Q1;98;223;774;11032;5619;635;8,88;49,47;United Kingdom;"BioMed Central";"Medicine (miscellaneous) (Q1)"
113;13363;"Obesity Reviews";journal;"14677881";4,184;Q1;132;128;336;9839;2712;311;8,30;76,87;United Kingdom;"Blackwell Publishing Inc.";"Endocrinology, Diabetes and Metabolism (Q1); Public Health, Environmental and Occupational Health (Q1)"
114;29646;"Progress in Surface Science";journal;"00796816";4,097;Q1;71;14;29;2786;274;29;9,18;199,00;United Kingdom;"Elsevier Ltd.";"Condensed Matter Physics (Q1); Surfaces and Interfaces (Q1); Surfaces, Coatings and Films (Q1)"
115;21195;"Pharmacology and Therapeutics";journal;"01637258";4,072;Q1;175;143;358;25171;3782;356;9,97;176,02;United Kingdom;"Elsevier Ltd.";"Pharmacology (Q1); Pharmacology (medical) (Q1)"
116;19353;"Schizophrenia Bulletin";journal;"05867614";4,039;Q1;161;160;587;7924;3480;544;5,83;49,53;United Kingdom;"Oxford University Press";"Psychiatry and Mental Health (Q1)"
117;27130;"Progress in Quantum Electronics";journal;"00796727";3,999;Q1;54;15;23;2467;243;21;10,73;164,47;United Kingdom;"Elsevier Ltd.";"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Statistical and Nonlinear Physics (Q1)"
118;26582;"Geometry and Topology";journal;"14653060";3,987;Q1;36;75;200;2640;259;197;1,17;35,20;United Kingdom;"University of Warwick";"Geometry and Topology (Q1)"
119;14750;"International Journal of Epidemiology";journal;"03005771";3,969;Q1;174;203;796;7367;3679;541;6,30;36,29;United Kingdom;"Oxford University Press";"Epidemiology (Q1); Medicine (miscellaneous) (Q1)"
120;16795;"Journal of Pineal Research";journal;"07423098, 1600079X";3,945;Q1;108;70;251;5244;2782;249;11,77;74,91;United Kingdom;"Blackwell Publishing Inc.";"Endocrinology (Q1)"
121;18391;"Aging Cell";journal;"14749718";3,937;Q1;113;147;355;7227;2543;341;7,69;49,16;United Kingdom;"Blackwell Publishing Inc.";"Aging (Q1); Cell Biology (Q1)"
122;26371;"Natural Product Reports";journal;"02650568, 14604752";3,918;Q1;151;63;253;11363;2481;239;10,31;180,37;United Kingdom;"Royal Society of Chemistry";"Biochemistry (Q1); Drug Discovery (Q1); Organic Chemistry (Q1)"
123;27822;"Alimentary Pharmacology and Therapeutics";journal;"02692813";3,917;Q1;155;513;1277;12704;5095;662;7,62;24,76;United Kingdom;"Blackwell Publishing Inc.";"Pharmacology (medical) (Q1)"
